LONGITUDE,LATITUDE
-79.8111,36.071
-80.3834,36.0676
-78.4311,36.2418
-78.4028,36.3054
-77.9094,35.3838
-77.8811,35.3774
-77.9447,35.4035
-77.9617,35.3888
-77.9747,35.3974
-78.8625,36.3168
-75.7327,36.0968
-76.7691,36.0099
-78.9342,34.9791
-78.5089,35.6668
-76.8113,36.3077
-76.4719,36.2218
-76.4619,36.214
-77.9775,34.9474
-78.952,34.7113
-77.6797,34.6599
-78.3422,34.4204
-81.5329,35.4201
-81.539,35.4251
-78.9275,34.9793
-77.3644,35.6004
-78.9573,34.9718
-77.388,35.6043
-77.3991,35.5335
-77.3969,35.5521
-81.577,35.4076
-75.5371,35.2671
-77.9789,34.7343
-77.8144,34.831
-77.8122,34.8249
-77.7683,34.9216
-77.9608,34.9663
-77.975,34.9593
-78.09,35.0066
-78.1094,34.9957
-78.0767,34.996
-78.0892,35.1427
-80.5309,35.4335
-80.6415,35.2929
-80.5903,35.2554
-80.7237,35.4824
-80.5837,35.4121
-80.7092,35.4154
-80.6195,35.4768
-80.5042,35.3824
-80.5267,35.2532
-80.5767,35.4096
-80.6267,35.4938
-80.7392,35.4257
-80.6592,35.3196
-80.7392,35.3796
-80.6131,35.4671
-80.6142,35.4179
-80.7301,35.199
-80.837,35.1313
-80.8192,35.0932
-80.8051,35.1282
-80.8309,35.2179
-80.8592,35.1888
-80.7737,35.0793
-80.6851,35.2168
-80.8642,35.4815
-80.849,35.496
-80.8492,35.2132
-80.7195,35.2263
-80.7601,35.1115
-80.8476,35.411
-80.7476,35.1871
-80.8592,35.1865
-80.929,35.3793
-80.7748,35.3343
-80.7226,35.1126
-80.8965,35.3007
-80.7984,35.1104
-80.8092,35.2057
-80.8873,35.0818
-80.734,35.1713
-80.5815,35.1438
-80.8017,35.3057
-80.8215,35.1501
-80.8859,35.1068
-80.9415,35.249
-80.9148,35.2324
-80.892,35.1793
-81.6454,35.7285
-81.6204,35.5074
-81.6637,35.811
-81.4784,35.7221
-81.4684,35.7146
-81.7001,35.7324
-81.7193,35.7418
-81.5131,35.6376
-81.6743,35.754
-81.4687,35.7287
-81.6707,35.7087
-81.6851,35.7396
-81.7018,35.7535
-81.6851,35.7312
-81.5234,35.7485
-81.7018,35.6949
-81.5684,35.746
-81.5668,35.7449
-81.6915,35.7365
-81.674,35.7168
-81.6893,35.7201
-81.5359,35.8085
-81.5976,35.8687
-81.6034,35.874
-81.4351,35.8068
-81.4009,35.9918
-81.4173,35.9021
-81.479,35.8187
-81.4465,35.8221
-81.6645,35.2415
-81.3306,35.2493
-81.4995,35.4262
-81.559,35.2887
-81.4476,35.1735
-81.3781,35.2246
-81.6593,35.3196
-81.5393,35.2751
-81.5456,35.2926
-81.6634,35.2537
-81.3518,35.2396
-81.0167,35.2471
-81.1362,35.1874
-81.2767,35.2996
-81.3801,35.3896
-81.0879,35.246
-81.0748,35.2396
-81.1792,35.3146
-81.4348,35.4279
-81.0737,35.3146
-81.2281,35.2471
-81.1334,35.2512
-81.1581,35.2012
-81.2017,35.4043
-81.234,35.2207
-81.0915,35.2804
-81.077,35.2532
-81.0465,35.2721
-81.0415,35.2418
-81.1792,35.3346
-81.4215,35.4032
-81.0226,35.2979
-81.2009,35.2229
-81.104,35.3671
-81.3234,35.3496
-81.3976,35.4876
-81.182,35.3349
-80.8642,35.7837
-80.9756,35.7554
-80.7323,35.846
-80.8351,35.8085
-80.7748,35.9615
-80.8851,35.7004
-80.8034,35.5824
-80.8045,35.5824
-80.8456,35.5471
-81.0142,35.8437
-81.0601,35.7704
-80.8059,35.5751
-80.8892,35.7887
-80.8851,35.6971
-80.8642,36.0221
-80.9931,35.7907
-80.9873,35.786
-81.3065,35.4221
-80.9981,35.446
-81.0934,35.474
-81.1551,35.4429
-81.254,35.476
-81.2734,35.4771
-81.2531,35.4646
-80.5853,35.5671
-80.569,35.5743
-80.6812,35.7293
-80.6153,35.5463
-80.6534,35.6054
-80.6659,35.5357
-80.4228,35.5957
-80.4628,35.5949
-80.4478,35.6104
-80.5042,35.7021
-80.5073,35.646
-80.5737,35.6138
-80.6206,35.5543
-80.3367,35.5799
-80.4298,35.7024
-80.4737,35.6899
-80.4148,35.556
-80.4778,35.6396
-80.4734,35.6715
-80.5895,35.7704
-80.1934,35.371
-80.2234,35.2293
-80.1956,35.3532
-80.2767,35.3054
-80.4192,35.2626
-80.3006,35.3782
-80.2101,35.3626
-80.1151,35.221
-80.3353,35.2335
-80.2559,35.4688
-80.4234,35.2326
-80.5734,36.474
-80.6509,36.331
-80.7262,36.3949
-80.8526,36.246
-80.8601,36.246
-80.5684,36.5126
-80.6609,36.5015
-80.8684,36.5293
-80.6153,36.5115
-80.6156,36.5137
-80.8545,36.3729
-80.8503,36.2615
-80.4481,36.4762
-80.4706,36.3901
-80.7206,36.3812
-80.6012,36.4904
-80.447,36.4771
-80.6351,36.4471
-80.6712,36.4554
-81.7779,36.2096
-80.4159,35.7854
-80.3759,35.8093
-80.1192,35.6326
-80.1192,35.6326
-80.2392,35.8168
-80.1073,35.8474
-80.0789,35.849
-80.132,35.966
-80.2459,35.8346
-80.2487,35.8335
-80.3034,35.9435
-80.2656,35.846
-80.1342,35.8793
-80.2609,35.7949
-80.0781,35.901
-80.2789,35.8162
-80.0784,35.8993
-80.3714,35.8051
-80.1431,36.0104
-80.1056,35.1051
-80.1131,35.1035
-80.002,34.8571
-80.0045,34.8646
-79.9895,34.9638
-80.087,34.9746
-80.0903,34.971
-80.0795,34.9621
-80.0812,34.9632
-80.0609,34.9515
-81.149,36.196
-81.1381,36.1782
-81.1837,36.1387
-80.5534,35.8157
-80.5528,35.8732
-80.552,35.9054
-80.5514,35.9074
-80.5353,35.9593
-80.5667,35.8865
-80.6228,35.9804
-80.5367,35.1396
-80.5817,35.1438
-80.674,35.074
-80.6453,35.0449
-80.6726,35.006
-80.532,34.9785
-80.5267,34.9721
-80.5409,34.9726
-80.567,34.9699
-80.5534,34.9763
-80.6145,35.1104
-80.5051,35.0849
-80.1203,36.1351
-80.0809,36.1271
-75.9696,36.3693
-75.9196,36.5135
-76.1738,36.5246
-75.9271,36.5318
-79.0792,35.9154
-77.5669,35.2957
-77.7455,35.0529
-77.795,35.3104
-77.5477,35.2079
-77.5141,35.3149
-77.2041,35.2004
-77.3405,35.2932
-76.6552,36.2335
-76.6063,36.0599
-76.6047,36.0668
-76.1738,36.3613
-76.183,36.3335
-76.1719,36.3271
-76.7263,34.7043
-76.7174,34.7238
-76.7413,34.7327
-76.6444,34.7302
-76.6602,34.7213
-76.3424,34.8824
-76.5516,34.6941
-76.5288,34.7579
-76.068,35.0685
-78.4314,35.8199
-78.4164,35.8579
-78.4789,35.7843
-78.3728,35.7854
-78.3203,35.8415
-78.4628,35.919
-78.6231,35.8815
-78.5144,35.9765
-78.5156,35.9849
-78.5006,35.9849
-78.6303,35.8918
-78.6103,35.8496
-78.5769,35.8571
-78.6017,35.7821
-78.7275,35.5932
-78.797,35.5977
-78.7942,35.5863
-78.6122,35.7121
-78.6122,35.7154
-78.6161,35.689
-78.6531,35.7118
-78.6358,35.7107
-78.8381,35.7446
-78.8486,35.7254
-78.8297,35.6463
-78.7817,35.7821
-78.7658,35.7793
-78.767,35.7724
-78.7747,35.7579
-76.0221,35.5132
-76.2182,35.4416
-76.2427,35.9143
-76.2472,35.9188
-77.3663,34.7385
-77.3605,34.6893
-77.3783,34.7324
-77.4794,34.5849
-77.478,34.5879
-77.1525,34.7043
-77.1397,34.6946
-77.13,34.6941
-77.5425,34.8999
-77.5441,34.8918
-77.3552,34.7052
-76.7791,35.1393
-76.8258,35.0224
-76.7794,35.1429
-76.1677,36.2052
-76.2238,36.3032
-76.2219,36.3024
-76.2547,36.2868
-76.2208,36.3257
-76.2124,36.2857
-76.2113,36.2893
-76.2133,36.2835
-76.2247,36.2835
-76.2283,36.2899
-76.263,36.2882
-76.2833,36.2763
-78.0347,34.4427
-77.678,34.3957
-77.9575,34.6921
-77.9283,34.5568
-78.0472,34.656
-77.8772,34.4285
-78.1736,34.5288
-77.6714,34.3999
-76.4619,36.214
-76.4741,36.1849
-76.4777,36.189
-76.7602,36.4682
-76.6052,36.4465
-76.8375,36.516
-76.608,36.4243
-76.755,36.4115
-76.9947,36.2918
-76.3863,35.8699
-76.396,35.8691
-76.6097,35.8749
-76.7474,35.8624
-76.7291,35.8657
-76.7391,35.8704
-79.5067,36.1029
-79.3584,36.0929
-79.4206,36.0732
-79.3814,36.0912
-79.3561,36.0676
-81.309,35.8749
-81.3118,35.8376
-81.1237,35.9276
-81.0901,35.9065
-81.279,35.9268
-81.1826,35.9204
-81.1268,36.5096
-81.5101,36.3107
-81.4776,36.4204
-81.4887,36.4018
-81.4984,36.3807
-81.3829,36.4512
-81.9215,36.0818
-81.8698,36.1626
-76.9363,36.1093
-78.8197,35.9807
-78.8386,35.9424
-78.9122,36.0849
-78.8883,35.9029
-78.8911,35.9043
-78.9056,35.9643
-78.8814,35.9946
-78.8231,36.0724
-77.5169,35.9015
-77.525,35.8865
-77.5247,35.9049
-77.6308,35.7882
-77.0772,35.7815
-77.0625,35.8471
-77.0711,35.8365
-77.095,35.8363
-76.9377,36.3854
-78.697,34.3316
-78.6895,34.3491
-78.7036,34.3363
-78.7067,34.3404
-78.7131,34.3396
-77.1016,35.5107
-77.0605,35.5463
-77.6989,35.581
-77.1469,35.3066
-77.358,35.0643
-77.3475,35.0671
-77.3333,35.034
-79.9601,35.2963
-76.6866,36.1615
-76.6552,36.2335
-76.6611,36.2115
-77.6703,35.4799
-77.6864,35.4541
-77.6841,35.4491
-77.9961,35.3668
-77.9936,35.3682
-77.9414,35.3668
-77.9414,35.3641
-78.9875,34.6141
-78.9239,34.6246
-79.1839,35.7196
-77.6586,35.8363
-77.5719,35.2343
-78.9803,36.4313
-78.9056,36.439
-78.9931,36.396
-78.992,36.3785
-78.9664,36.4071
-81.5329,35.3104
-81.5126,35.3021
-81.6187,35.2771
-81.6093,35.2723
-81.5673,35.266
-78.9947,36.394
-78.5025,34.9907
-78.5128,34.9507
-78.5858,36.3174
-78.5919,36.3149
-78.6125,36.3224
-78.5969,36.3376
-76.925,36.2238
-77.2433,35.8565
-77.1727,35.8415
-77.165,35.8343
-77.2427,35.8229
-80.347,35.2679
-77.5727,35.5935
-77.6789,35.3418
-77.6314,35.3124
-78.6153,34.6138
-78.6145,34.6302
-78.5953,34.7113
-78.0125,34.5452
-78.732,34.646
-77.7044,35.1457
-77.6339,35.1588
-77.8189,35.0682
-80.2364,35.3396
-80.1956,35.3546
-76.9911,36.289
-76.9733,36.2924
-77.9686,34.8249
-78.6525,34.4946
-78.797,34.5302
-78.7797,34.5374
-79.0986,35.3002
-76.2224,36.3024
-77.4316,35.4757
-77.4311,35.4302
-77.7844,34.9407
-78.2544,34.3477
-77.2736,35.4641
-77.6033,35.2782
-77.5616,35.2627
-77.5561,35.2577
-77.5819,35.4621
-78.2692,34.0179
-78.2297,34.0382
-78.033,34.2371
-78.0242,34.2404
-78.5936,34.1646
-78.6539,34.1077
-78.0483,34.0085
-78.0425,34.011
-78.4592,33.9585
-78.4117,33.9804
-78.0317,33.9252
-78.5528,33.9443
-82.4057,35.5965
-82.6396,35.5543
-82.6296,35.5532
-82.4865,35.5537
-82.5846,35.6323
-82.561,35.6948
-82.5626,35.6893
-82.5504,35.8271
-79.4275,36.4285
-79.2431,36.4963
-79.4711,36.6218
-79.3395,36.2646
-79.3309,36.4049
-81.2115,35.5782
-81.2179,35.5807
-81.3309,35.6154
-81.4165,35.5829
-81.1437,35.7168
-81.2204,35.689
-81.2226,35.6682
-81.2212,35.7012
-81.269,35.6385
-81.3804,35.7279
-81.2776,35.7765
-79.5456,35.5624
-79.4203,35.6438
-79.4597,35.7299
-79.1767,35.7129
-79.1692,35.744
-79.367,35.7804
-78.6997,34.066
-78.595,34.1649
-78.7639,34.2041
-78.8864,34.1482
-79.0256,34.3138
-78.9309,34.3291
-78.9236,34.3282
-78.835,34.3163
-78.8209,34.3254
-78.5789,34.311
-78.5931,34.3207
-78.8984,34.4074
-78.5308,34.3213
-78.6553,34.1146
-84.1385,35.194
-78.9539,35.0424
-78.9598,35.0327
-78.9831,35.0382
-78.9623,35.0182
-78.9686,35.0021
-78.9948,35.0591
-78.9873,35.0799
-78.9873,35.0868
-79.0095,35.0932
-79.0092,35.0382
-78.8989,35.1279
-78.8967,35.1691
-78.8872,35.1543
-78.8409,35.2171
-78.7053,35.1496
