"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ANDERSON COUNTY",2003,"9422","13.1","38288.00",71923.6641221374,13,0.0180747187433666,23
"2","ANDERSON COUNTY",2004,"10521.00","14.60","38954.00",72061.6438356164,17,0.0235909134112727,23
"3","ANDERSON COUNTY",2005,"10649.00","14.90","37842.00",71469.7986577181,16,0.0223870785989295,23
"4","ANDERSON COUNTY",2006,"10380","14.3","41444",72587.4125874126,18,0.0247976878612717,23
"5","ANDERSON COUNTY",2007,"11695","16.1","42059",72639.751552795,17,0.0234031637451903,23
"6","ANDERSON COUNTY",2008,"11256","15.4","44193",73090.9090909091,10,0.013681592039801,23
"7","ANDERSON COUNTY",2009,"12788","17.3","43645",73919.0751445087,14,0.0189396309039725,23
"8","ANDERSON COUNTY",2010,"11965.00","16.20","45917.00",73858.024691358,12,0.0162473882156289,23
"9","ANDERSON COUNTY",2011,"12376.00","16.70","41694.00",74107.7844311377,7,0.00944570135746606,23
"10","BEDFORD COUNTY",2003,"5247","12.8","37443.00",40992.1875,9,0.0219554030874786,25
"11","BEDFORD COUNTY",2004,"5985.00","14.30","38694.00",41853.1468531468,7,0.0167251461988304,25
"12","BEDFORD COUNTY",2005,"5742.00","13.90","38327.00",41309.3525179856,13,0.0314698711250435,25
"13","BEDFORD COUNTY",2006,"7772","18.2","39981",42703.2967032967,12,0.0281008749356665,25
"14","BEDFORD COUNTY",2007,"7677","17.7","39792",43372.8813559322,6,0.0138335287221571,25
"15","BEDFORD COUNTY",2008,"7362","16.7","39186",44083.8323353293,12,0.0272208638956805,25
"16","BEDFORD COUNTY",2009,"8260","18.2","39042",45384.6153846154,13,0.0286440677966102,25
"17","BEDFORD COUNTY",2010,"10453.00","23.50","39057.00",44480.8510638298,9,0.020233425810772,25
"18","BEDFORD COUNTY",2011,"8354.00","18.60","39552.00",44913.9784946237,4,0.00890591333492938,25
"19","BENTON COUNTY",2003,"2586","15.8","29063.00",16367.0886075949,10,0.0610982211910286,23.5
"20","BENTON COUNTY",2004,"2932.00","18.00","29498.00",16288.8888888889,7,0.0429740791268759,23.5
"21","BENTON COUNTY",2005,"3272.00","20.30","30670.00",16118.2266009852,6,0.0372249388753056,23.5
"22","BENTON COUNTY",2006,"3074","19.1","31915",16094.2408376963,3,0.0186402081977879,23.5
"23","BENTON COUNTY",2007,"2870","17.9","34077",16033.5195530726,8,0.0498954703832753,23.5
"24","BENTON COUNTY",2008,"2940","18.5","33686",15891.8918918919,7,0.0440476190476191,23.5
"25","BENTON COUNTY",2009,"3153","20","31917",15765,2,0.012686330478909,23.5
"26","BENTON COUNTY",2010,"3242.00","19.90","32346.00",16291.4572864322,5,0.0306909315237508,23.5
"27","BENTON COUNTY",2011,"3425.00","21.10","32527.00",16232.2274881517,3,0.0184817518248175,23.5
"28","BLEDSOE COUNTY",2003,"1946","16.7","29861.00",11652.6946107784,2,0.0171634121274409,33.3
"29","BLEDSOE COUNTY",2004,"2247.00","19.00","30444.00",11826.3157894737,2,0.0169114374721851,33.3
"30","BLEDSOE COUNTY",2005,"2608.00","22.30","31800.00",11695.067264574,1,0.00855061349693252,33.3
"31","BLEDSOE COUNTY",2006,"2715","23","32209",11804.347826087,4,0.0338858195211786,33.3
"32","BLEDSOE COUNTY",2007,"2535","21.3","34655",11901.4084507042,7,0.0588165680473373,33.3
"33","BLEDSOE COUNTY",2008,"2860","23.9","33640",11966.5271966527,3,0.0250699300699301,33.3
"34","BLEDSOE COUNTY",2009,"3003","25.5","32457",11776.4705882353,1,0.00849150849150849,33.3
"35","BLEDSOE COUNTY",2010,"2631.00","22.40","33366.00",11745.5357142857,3,0.0255416191562144,33.3
"36","BLEDSOE COUNTY",2011,"2795.00","23.80","33500.00",11743.6974789916,3,0.0255456171735241,33.3
"37","BLOUNT COUNTY",2003,"11566","10.3","40678.00",112291.262135922,25,0.022263531039253,23.4
"38","BLOUNT COUNTY",2004,"12931.00","11.30","41639.00",114433.628318584,39,0.0340808908823757,23.4
"39","BLOUNT COUNTY",2005,"14512.00","12.80","42567.00",113375,17,0.0149944873208379,23.4
"40","BLOUNT COUNTY",2006,"14928","12.9","43457",115720.930232558,26,0.022467845659164,23.4
"41","BLOUNT COUNTY",2007,"14063","12","47466",117191.666666667,28,0.0238924838227974,23.4
"42","BLOUNT COUNTY",2008,"12860","10.8","47225",119074.074074074,16,0.0134370139968896,23.4
"43","BLOUNT COUNTY",2009,"14084","11.7","45447",120376.068376068,10,0.00830729906276626,23.4
"44","BLOUNT COUNTY",2010,"16861.00","14.00","41736.00",120435.714285714,16,0.0132850957831683,23.4
"45","BLOUNT COUNTY",2011,"17800.00","14.60","45539.00",121917.808219178,18,0.0147640449438202,23.4
"46","BRADLEY COUNTY",2003,"11227","12.5","37038.00",89816,14,0.0155874231762715,20.4
"47","BRADLEY COUNTY",2004,"12575.00","13.90","38003.00",90467.6258992806,15,0.0165805168986084,20.4
"48","BRADLEY COUNTY",2005,"12906.00","14.40","39628.00",89625,14,0.0156206415620642,20.4
"49","BRADLEY COUNTY",2006,"14470","15.9","38336",91006.2893081761,17,0.0186800276434001,20.4
"50","BRADLEY COUNTY",2007,"14632","15.7","39362",93197.4522292994,14,0.0150218698742482,20.4
"51","BRADLEY COUNTY",2008,"12398","13.2","40532",93924.2424242424,11,0.0117115663816745,20.4
