"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ANDERSON COUNTY",2003,"8350","20.1","31485.00",41542.2885572139,9,0.0216646706586826,23.8
"2","ANDERSON COUNTY",2004,"8774.00","21.00","31884.00",41780.9523809524,14,0.0335080920902667,23.8
"3","ANDERSON COUNTY",2005,"9112.00","22.00","34915.00",41418.1818181818,22,0.053116769095698,23.8
"4","ANDERSON COUNTY",2006,"8101","19.3","35729",41974.0932642487,16,0.0381187507715097,23.8
"5","ANDERSON COUNTY",2007,"7890","18.9","37973",41746.0317460317,23,0.0550950570342205,23.8
"6","ANDERSON COUNTY",2008,"8866","21.2","45551",41820.7547169811,17,0.0406496729077374,23.8
"7","ANDERSON COUNTY",2009,"10263","24.3","36991",42234.5679012346,20,0.0473545746857644,23.8
"8","ANDERSON COUNTY",2010,"9372.00","20.90","40482.00",44842.1052631579,11,0.0245305164319249,23.8
"9","ANDERSON COUNTY",2011,"10422.00","23.30","38558.00",44729.6137339056,11,0.0245922087891,23.8
"10","ANDREWS COUNTY",2003,"1915","15","38190.00",12766.6666666667,10,0.0783289817232376,21.7
"11","ANDREWS COUNTY",2004,"1876.00","14.80","40493.00",12675.6756756757,1,0.00788912579957356,21.7
"12","ANDREWS COUNTY",2005,"2013.00","15.90","40223.00",12660.3773584906,5,0.0394932935916542,21.7
"13","ANDREWS COUNTY",2006,"1879","14.7","42257",12782.3129251701,4,0.0312932410856839,21.7
"14","ANDREWS COUNTY",2007,"1988","15.3","48020",12993.4640522876,7,0.0538732394366197,21.7
"15","ANDREWS COUNTY",2008,"1811","13.4","49043",13514.9253731343,6,0.0443953616786306,21.7
"16","ANDREWS COUNTY",2009,"1744","12.5","53669",13952,6,0.0430045871559633,21.7
"17","ANDREWS COUNTY",2010,"1992.00","13.50","51339.00",14755.5555555556,5,0.0338855421686747,21.7
"18","ANDREWS COUNTY",2011,"2046.00","13.30","52865.00",15383.4586466165,17,0.110508308895406,21.7
"19","ANGELINA COUNTY",2003,"13679","17.3","34630.00",79069.3641618497,18,0.0227648219899115,20.8
"20","ANGELINA COUNTY",2004,"13709.00","17.30","35749.00",79242.774566474,22,0.0277627835728354,20.8
"21","ANGELINA COUNTY",2005,"15622.00","19.90","37146.00",78502.5125628141,20,0.0254768915631801,20.8
