"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADDISON COUNTY",2003,"3048","8.7","45369.00",35034.4827586207,3,0.00856299212598425,22.5
"2","ADDISON COUNTY",2004,"2688.00","7.60","46677.00",35368.4210526316,5,0.0141369047619048,22.5
"3","ADDISON COUNTY",2005,"3311.00","9.70","50077.00",34134.0206185567,2,0.00585925702204772,22.5
"4","ADDISON COUNTY",2006,"3581","10.3","50202",34766.9902912621,9,0.0258866238480871,22.5
"5","ADDISON COUNTY",2007,"3405","9.9","54205",34393.9393939394,4,0.0116299559471366,22.5
"6","ADDISON COUNTY",2008,"3265","9.5","56584",34368.4210526316,9,0.0261868300153139,22.5
"7","ADDISON COUNTY",2009,"3738","10.9","52135",34293.5779816514,6,0.0174959871589085,22.5
"8","ADDISON COUNTY",2010,"4109.00","12.00","51967.00",34241.6666666667,2,0.00584083718666342,22.5
"9","ADDISON COUNTY",2011,"3799.00","11.10","54542.00",34225.2252252252,2,0.0058436430639642,22.5
"10","BENNINGTON COUNTY",2003,"3627","10","40818.00",36270,5,0.0137854976564654,17.6
"11","BENNINGTON COUNTY",2004,"3442.00","9.40","41411.00",36617.0212765957,3,0.00819291109819872,17.6
"12","BENNINGTON COUNTY",2005,"3818.00","10.70","43020.00",35682.2429906542,8,0.022420115243583,17.6
"13","BENNINGTON COUNTY",2006,"3720","10.4","45077",35769.2307692308,5,0.0139784946236559,17.6
"14","BENNINGTON COUNTY",2007,"3749","10.7","46672",35037.3831775701,2,0.0057081888503601,17.6
"15","BENNINGTON COUNTY",2008,"4298","12.2","45029",35229.5081967213,6,0.0170311772917636,17.6
"16","BENNINGTON COUNTY",2009,"4498","12.8","44686",35140.625,7,0.0199199644286349,17.6
"17","BENNINGTON COUNTY",2010,"4894.00","13.80","47161.00",35463.768115942,4,0.0112791172864732,17.6
"18","BENNINGTON COUNTY",2011,"5130.00","14.50","44701.00",35379.3103448276,4,0.0113060428849903,17.6
"19","CALEDONIA COUNTY",2003,"3389","11.3","36116.00",29991.1504424779,2,0.00666863381528474,21.5
"20","CALEDONIA COUNTY",2004,"3294.00","11.00","36986.00",29945.4545454545,10,0.0333940497874924,21.5
"21","CALEDONIA COUNTY",2005,"4204.00","14.30","36480.00",29398.6013986014,6,0.0204091341579448,21.5
"22","CALEDONIA COUNTY",2006,"3640","12.2","39556",29836.0655737705,7,0.0234615384615385,21.5
"23","CALEDONIA COUNTY",2007,"4098","13.8","41034",29695.652173913,7,0.0235724743777452,21.5
"24","CALEDONIA COUNTY",2008,"3466","11.8","42097",29372.8813559322,5,0.0170225043277553,21.5
"25","CALEDONIA COUNTY",2009,"4356","14.9","43193",29234.8993288591,2,0.00684113865932048,21.5
"26","CALEDONIA COUNTY",2010,"4833.00","16.10","40219.00",30018.6335403727,10,0.0333126422511897,21.5
"27","CALEDONIA COUNTY",2011,"4180.00","14.00","42452.00",29857.1428571429,2,0.00669856459330143,21.5
"28","CHITTENDEN COUNTY",2003,"11060","7.6","51922.00",145526.315789474,11,0.00755877034358047,19.6
"29","CHITTENDEN COUNTY",2004,"10908.00","7.50","52843.00",145440,14,0.00962596259625963,19.6
"30","CHITTENDEN COUNTY",2005,"14785.00","10.40","53758.00",142163.461538462,7,0.0049239093676023,19.6
"31","CHITTENDEN COUNTY",2006,"13137","9.2","54664",142793.47826087,9,0.00630280886047043,19.6
"32","CHITTENDEN COUNTY",2007,"11299","7.8","57677",144858.974358974,6,0.00414195946543942,19.6
"33","CHITTENDEN COUNTY",2008,"13987","9.6","61230",145697.916666667,6,0.00411810967326803,19.6
"34","CHITTENDEN COUNTY",2009,"15392","10.6","60182",145207.547169811,5,0.00344334719334719,19.6
"35","CHITTENDEN COUNTY",2010,"17289.00","11.80","56016.00",146516.949152542,13,0.00887269362022095,19.6
"36","CHITTENDEN COUNTY",2011,"15553.00","10.50","60865.00",148123.80952381,7,0.00472577637754774,19.6
"37","ESSEX COUNTY",2003,"831","12.3","31286.00",6756.09756097561,2,0.0296028880866426,25.1
"38","ESSEX COUNTY",2004,"757.00","11.30","32427.00",6699.11504424779,1,0.0149273447820343,25.1
"39","ESSEX COUNTY",2005,"866.00","13.20","33811.00",6560.60606060606,0,0,25.1
"40","ESSEX COUNTY",2006,"952","14.5","34110",6565.51724137931,0,0,25.1
"41","ESSEX COUNTY",2007,"876","13.5","35986",6488.88888888889,2,0.0308219178082192,25.1
"42","ESSEX COUNTY",2008,"961","14.8","38799",6493.24324324324,3,0.0462018730489074,25.1
"43","ESSEX COUNTY",2009,"1076","16.9","34407",6366.86390532544,0,0,25.1
"44","ESSEX COUNTY",2010,"1082.00","17.20","34947.00",6290.6976744186,1,0.0158964879852126,25.1
"45","ESSEX COUNTY",2011,"1047.00","16.70","34535.00",6269.46107784431,0,0,25.1
"46","FRANKLIN COUNTY",2003,"4522","9.5","43672.00",47600,9,0.0189075630252101,26.6
"47","FRANKLIN COUNTY",2004,"4252.00","8.80","45145.00",48318.1818181818,9,0.0186265286923801,26.6
"48","FRANKLIN COUNTY",2005,"4937.00","10.50","45282.00",47019.0476190476,4,0.00850719060157991,26.6
"49","FRANKLIN COUNTY",2006,"4927","10.4","49965",47375,12,0.0253298153034301,26.6
"50","FRANKLIN COUNTY",2007,"4617","9.8","51495",47112.2448979592,10,0.0212259042668399,26.6
"51","FRANKLIN COUNTY",2008,"4680","9.9","53032",47272.7272727273,3,0.00634615384615385,26.6
"52","FRANKLIN COUNTY",2009,"4881","10.3","51950",47388.3495145631,8,0.0168817865191559,26.6
"53","FRANKLIN COUNTY",2010,"5614.00","11.90","51296.00",47176.4705882353,4,0.0084788029925187,26.6
"54","FRANKLIN COUNTY",2011,"5452.00","11.50","53412.00",47408.6956521739,4,0.00843727072633896,26.6
"55","GRAND ISLE COUNTY",2003,"564","7.3","47096.00",7726.02739726027,3,0.0388297872340426,31.1
"56","GRAND ISLE COUNTY",2004,"552.00","7.00","48907.00",7885.71428571429,1,0.0126811594202899,31.1
"57","GRAND ISLE COUNTY",2005,"590.00","7.70","50147.00",7662.33766233766,1,0.0130508474576271,31.1
"58","GRAND ISLE COUNTY",2006,"640","8.3","52714",7710.84337349398,0,0,31.1
"59","GRAND ISLE COUNTY",2007,"676","8.9","53199",7595.50561797753,0,0,31.1
"60","GRAND ISLE COUNTY",2008,"645","8.4","57435",7678.57142857143,1,0.0130232558139535,31.1
"61","GRAND ISLE COUNTY",2009,"705","9.4","51993",7500,0,0,31.1
"62","GRAND ISLE COUNTY",2010,"565.00","8.10","54907.00",6975.30864197531,2,0.0286725663716814,31.1
"63","GRAND ISLE COUNTY",2011,"728.00","10.50","56241.00",6933.33333333333,2,0.0288461538461538,31.1
"64","LAMOILLE COUNTY",2003,"2121","8.8","41574.00",24102.2727272727,4,0.0165959453088166,24.4
"65","LAMOILLE COUNTY",2004,"2105.00","8.60","42986.00",24476.7441860465,8,0.0326840855106888,24.4
"66","LAMOILLE COUNTY",2005,"2576.00","10.80","44661.00",23851.8518518519,4,0.0167701863354037,24.4
