"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADAMS COUNTY",2005,"3015.00","18.30","36429.00",16475.4098360656,10,0.0606965174129353,16.2
"2","ADAMS COUNTY",2006,"3508","21","37412",16704.7619047619,4,0.023945267958951,16.2
"3","ADAMS COUNTY",2007,"3073","18.3","38463",16792.349726776,3,0.0178652782297429,16.2
"4","ADAMS COUNTY",2008,"3060","17.9","40967",17094.9720670391,7,0.0409477124183006,16.2
"5","ADAMS COUNTY",2009,"3199","18.2","43088",17576.9230769231,1,0.00568927789934354,16.2
"6","ADAMS COUNTY",2010,"3804.00","20.40","41099.00",18647.0588235294,6,0.0321766561514196,16.2
"7","ADAMS COUNTY",2011,"3747.00","20.00","40675.00",18735,7,0.0373632239124633,16.2
"8","ASOTIN COUNTY",2005,"3652.00","17.60","36096.00",20750,1,0.00481927710843374,16.5
"9","ASOTIN COUNTY",2006,"3426","16.3","37837",21018.4049079755,0,0,16.5
"10","ASOTIN COUNTY",2007,"2951","14.1","42665",20929.0780141844,0,0,16.5
"11","ASOTIN COUNTY",2008,"3443","16.3","41275",21122.6993865031,0,0,16.5
"12","ASOTIN COUNTY",2009,"3189","15","41190",21260,2,0.00940733772342427,16.5
"13","ASOTIN COUNTY",2010,"3384.00","15.80","39340.00",21417.7215189873,0,0,16.5
"14","ASOTIN COUNTY",2011,"3732.00","17.20","41864.00",21697.6744186047,3,0.0138263665594855,16.5
"15","BENTON COUNTY",2005,"17355.00","11.10","52683.00",156351.351351351,15,0.00959377700950735,21.2
"16","BENTON COUNTY",2006,"20096","12.7","51490",158236.220472441,13,0.0082155652866242,21.2
"17","BENTON COUNTY",2007,"17252","10.9","53129",158275.229357798,8,0.00505448643635521,21.2
"18","BENTON COUNTY",2008,"20260","12.5","56458",162080,3,0.00185093780848963,21.2
"19","BENTON COUNTY",2009,"18938","11.3","57603",167592.920353982,11,0.00656352307529834,21.2
"20","BENTON COUNTY",2010,"22384.00","12.80","59409.00",174875,12,0.00686204431736955,21.2
"21","BENTON COUNTY",2011,"20878.00","11.70","61539.00",178444.444444444,16,0.00896637608966376,21.2
"22","CHELAN COUNTY",2005,"9491.00","13.90","40132.00",68280.5755395683,4,0.00585818143504373,17.8
"23","CHELAN COUNTY",2006,"8878","12.7","46205",69905.5118110236,5,0.00715251182698806,17.8
"24","CHELAN COUNTY",2007,"8840","12.6","45271",70158.7301587302,5,0.00712669683257919,17.8
"25","CHELAN COUNTY",2008,"8453","12","45092",70441.6666666667,10,0.0141961433810481,17.8
"26","CHELAN COUNTY",2009,"9309","13","48086",71607.6923076923,12,0.0167579761521109,17.8
"27","CHELAN COUNTY",2010,"10181.00","14.20","45561.00",71697.1830985916,3,0.00418426480699342,17.8
"28","CHELAN COUNTY",2011,"11507.00","15.90","48458.00",72371.0691823899,8,0.0110541409576779,17.8
"29","CLALLAM COUNTY",2005,"8714.00","12.80","42280.00",68078.125,10,0.0146890061969245,20.9
"30","CLALLAM COUNTY",2006,"9839","14.3","41238",68804.1958041958,10,0.014533997357455,20.9
"31","CLALLAM COUNTY",2007,"8212","11.9","42395",69008.4033613445,14,0.0202873843156357,20.9
"32","CLALLAM COUNTY",2008,"9466","13.6","47537",69602.9411764706,7,0.0100570462708641,20.9
"33","CLALLAM COUNTY",2009,"9986","14.3","43533",69832.1678321678,7,0.0100240336471059,20.9
"34","CLALLAM COUNTY",2010,"10828.00","15.50","42111.00",69858.064516129,7,0.0100203176948652,20.9
"35","CLALLAM COUNTY",2011,"9248.00","13.20","47903.00",70060.6060606061,9,0.0128460207612457,20.9
"36","CLARK COUNTY",2005,"45893.00","11.50","51124.00",399069.565217391,32,0.00801865208201686,25
"37","CLARK COUNTY",2006,"41628","10.2","55459",408117.647058824,23,0.00563562986451427,25
"38","CLARK COUNTY",2007,"39196","9.5","58167",412589.473684211,32,0.00775589345851618,25
"39","CLARK COUNTY",2008,"41605","9.9","59194",420252.525252525,15,0.00356928253815647,25
"40","CLARK COUNTY",2009,"50559","11.8","56351",428466.101694915,14,0.00326746968887834,25
"41","CLARK COUNTY",2010,"53717.00","12.70","55144.00",422968.503937008,24,0.00567418135785692,25
"42","CLARK COUNTY",2011,"58684.00","13.70","56750.00",428350.364963504,16,0.00373526003680731,25
"43","COLUMBIA COUNTY",2005,"547.00","13.60","36599.00",4022.05882352941,0,0,21.7
"44","COLUMBIA COUNTY",2006,"590","14.7","36897",4013.60544217687,0,0,21.7
"45","COLUMBIA COUNTY",2007,"560","14.3","39699",3916.08391608392,1,0.0255357142857143,21.7
"46","COLUMBIA COUNTY",2008,"566","14.4","41194",3930.55555555556,2,0.0508833922261484,21.7
"47","COLUMBIA COUNTY",2009,"562","14.1","41090",3985.81560283688,0,0,21.7
"48","COLUMBIA COUNTY",2010,"591.00","14.60","41244.00",4047.94520547945,0,0,21.7
"49","COLUMBIA COUNTY",2011,"595.00","14.90","42463.00",3993.28859060403,0,0,21.7
"50","COWLITZ COUNTY",2005,"14302.00","15.00","42592.00",95346.6666666667,10,0.0104880436302615,23.6
"51","COWLITZ COUNTY",2006,"15414","15.7","44337",98178.3439490446,19,0.019352536654989,23.6
"52","COWLITZ COUNTY",2007,"15185","15.4","44814",98603.8961038961,10,0.0101415870925255,23.6
"53","COWLITZ COUNTY",2008,"14747","14.8","47832",99641.8918918919,12,0.0120431274157456,23.6
"54","COWLITZ COUNTY",2009,"16023","16","45839",100143.75,7,0.00698995194408038,23.6
"55","COWLITZ COUNTY",2010,"20793.00","20.60","43031.00",100936.893203883,8,0.00792574424085029,23.6
"56","COWLITZ COUNTY",2011,"19636.00","19.50","43611.00",100697.435897436,6,0.00595844367488287,23.6
"57","DOUGLAS COUNTY",2005,"5225.00","15.10","43372.00",34602.6490066225,7,0.0202296650717703,18.9
"58","DOUGLAS COUNTY",2006,"4978","14","44458",35557.1428571429,11,0.0309361189232624,18.9
"59","DOUGLAS COUNTY",2007,"4589","12.8","43049",35851.5625,6,0.0167356722597516,18.9
"60","DOUGLAS COUNTY",2008,"4780","13.1","50370",36488.5496183206,2,0.00548117154811715,18.9
"61","DOUGLAS COUNTY",2009,"5453","14.6","47430",37349.3150684932,1,0.00267742527049331,18.9
"62","DOUGLAS COUNTY",2010,"5459.00","14.20","48113.00",38443.661971831,3,0.00780362703791903,18.9
"63","DOUGLAS COUNTY",2011,"6718.00","17.40","47958.00",38609.1954022989,3,0.00777016969336112,18.9
"64","FERRY COUNTY",2005,"1461.00","20.00","33124.00",7305,8,0.109514031485284,24.3
"65","FERRY COUNTY",2006,"1525","20.3","32817",7512.31527093596,3,0.0399344262295082,24.3
"66","FERRY COUNTY",2007,"1529","20.9","35121",7315.78947368421,3,0.0410071942446043,24.3
"67","FERRY COUNTY",2008,"1544","21.1","34948",7317.5355450237,2,0.0273316062176166,24.3
"68","FERRY COUNTY",2009,"1486","19.9","34802",7467.33668341709,3,0.0401749663526245,24.3
"69","FERRY COUNTY",2010,"1567.00","21.00","35721.00",7461.90476190476,0,0,24.3
"70","FERRY COUNTY",2011,"1637.00","21.60","34543.00",7578.7037037037,1,0.0131948686621869,24.3
"71","FRANKLIN COUNTY",2003,"8867","15.1","40404.00",58721.8543046358,0,0,21.2
"72","FRANKLIN COUNTY",2003,"8867","15.1","40404.00",58721.8543046358,11,0.018732378482012,21.2
"73","FRANKLIN COUNTY",2004,"9450.00","15.20","42029.00",62171.052631579,0,0,21.2
"74","FRANKLIN COUNTY",2004,"9450.00","15.20","42029.00",62171.052631579,12,0.0193015873015873,21.2
"75","FRANKLIN COUNTY",2005,"10987.00","17.80","41434.00",61724.7191011236,3,0.00486028943296623,21.2
"76","FRANKLIN COUNTY",2006,"13862","21.2","44017",65386.7924528302,5,0.00764680421295628,21.2
"77","FRANKLIN COUNTY",2007,"10624","15.5","47041",68541.935483871,10,0.0145896084337349,21.2
"78","FRANKLIN COUNTY",2008,"12428","17.4","46681",71425.2873563218,12,0.016800772449308,21.2
"79","FRANKLIN COUNTY",2009,"13107","17.3","47719",75763.0057803468,10,0.0131990539406424,21.2
"80","FRANKLIN COUNTY",2010,"14532.00","18.80","49873.00",77297.8723404255,4,0.00517478667767685,21.2
"81","FRANKLIN COUNTY",2011,"19400.00","24.20","48904.00",80165.2892561983,7,0.0087319587628866,21.2
"82","GARFIELD COUNTY",2005,"328.00","14.30","36992.00",2293.70629370629,0,0,17.2
"83","GARFIELD COUNTY",2006,"312","14.3","36433",2181.81818181818,0,0,17.2
"84","GARFIELD COUNTY",2007,"280","14","39649",2000,1,0.05,17.2
"85","GARFIELD COUNTY",2008,"284","14.1","40351",2014.18439716312,2,0.0992957746478873,17.2
"86","GARFIELD COUNTY",2009,"295","14.3","41305",2062.93706293706,2,0.0969491525423729,17.2
"87","GARFIELD COUNTY",2010,"310.00","13.90","41482.00",2230.21582733813,1,0.0448387096774194,17.2
"88","GARFIELD COUNTY",2011,"294.00","13.20","46302.00",2227.27272727273,0,0,17.2
"89","GRANT COUNTY",2005,"13789.00","17.30","38627.00",79705.2023121387,18,0.022583218507506,18.3
"90","GRANT COUNTY",2006,"16568","20.3","38537",81615.763546798,20,0.0245050700144858,18.3
"91","GRANT COUNTY",2007,"14032","17.1","41890",82058.4795321637,14,0.0170610034207526,18.3
"92","GRANT COUNTY",2008,"13512","16.1","43809",83925.4658385093,17,0.0202560686796921,18.3
"93","GRANT COUNTY",2009,"16169","18.6","45183",86930.1075268817,22,0.0253076875502505,18.3
"94","GRANT COUNTY",2010,"19175.00","21.70","42514.00",88364.0552995392,22,0.024897001303781,18.3
"95","GRANT COUNTY",2011,"18233.00","20.30","43149.00",89817.7339901478,12,0.0133603905007404,18.3
"96","GRAYS HARBOR COUNTY",2005,"11657.00","17.20","37538.00",67773.2558139535,16,0.0236081324526036,24.2
"97","GRAYS HARBOR COUNTY",2006,"12041","17.5","39986",68805.7142857143,10,0.0145336766049331,24.2
"98","GRAYS HARBOR COUNTY",2007,"10188","14.9","41655",68375.8389261745,22,0.032175107970161,24.2
"99","GRAYS HARBOR COUNTY",2008,"10909","15.9","41787",68610.0628930818,8,0.0116600971674764,24.2
"100","GRAYS HARBOR COUNTY",2009,"13312","19.3","37637",68974.0932642487,5,0.00724909855769231,24.2
"101","GRAYS HARBOR COUNTY",2010,"12544.00","17.90","40281.00",70078.2122905028,7,0.00998883928571428,24.2
"102","GRAYS HARBOR COUNTY",2011,"14677.00","21.10","40886.00",69559.2417061611,7,0.0100633644477754,24.2
"103","ISLAND COUNTY",2005,"6217.00","8.00","47708.00",77712.5,8,0.0102943541901239,26
"104","ISLAND COUNTY",2006,"6474","8.2","50289",78951.2195121951,14,0.017732468334878,26
"105","ISLAND COUNTY",2007,"6684","8.4","57107",79571.4285714286,5,0.00628366247755835,26
"106","ISLAND COUNTY",2008,"6532","8.2","56370",79658.5365853659,3,0.00376607470912431,26
"107","ISLAND COUNTY",2009,"6173","7.8","55394",79141.0256410256,1,0.00126356714725417,26
"108","ISLAND COUNTY",2010,"7482.00","9.70","54714.00",77134.0206185567,7,0.0090751136059877,26
"109","ISLAND COUNTY",2011,"7816.00","10.10","58179.00",77386.1386138614,6,0.00775332650972364,26
"110","JEFFERSON COUNTY",2005,"3235.00","11.50","42408.00",28130.4347826087,5,0.017774343122102,24.6
"111","JEFFERSON COUNTY",2006,"3681","12.8","45370",28757.8125,5,0.017386579733768,24.6
"112","JEFFERSON COUNTY",2007,"3132","10.9","45307",28733.9449541284,9,0.0313218390804598,24.6
"113","JEFFERSON COUNTY",2008,"3593","12.4","50463",28975.8064516129,7,0.0241580851655998,24.6
"114","JEFFERSON COUNTY",2009,"3992","13.7","48176",29138.6861313869,2,0.00686372745490982,24.6
"115","JEFFERSON COUNTY",2010,"3522.00","12.00","45600.00",29350,5,0.0170357751277683,24.6
"116","JEFFERSON COUNTY",2011,"3997.00","13.60","47045.00",29389.7058823529,2,0.0068051038278709,24.6
"117","KING COUNTY",2005,"167720.00","9.60","58351.00",1747083.33333333,130,0.00744097305032196,26.6
"118","KING COUNTY",2006,"172537","9.6","63291",1797260.41666667,133,0.00740015185148693,26.6
"119","KING COUNTY",2007,"180219","9.9","66969",1820393.93939394,91,0.00499891798312054,26.6
"120","KING COUNTY",2008,"169901","9.2","70091",1846750,96,0.0051983213753892,26.6
"121","KING COUNTY",2009,"184782","9.8","67706",1885530.6122449,77,0.0040837310993495,26.6
"122","KING COUNTY",2010,"232704.00","12.20","66147.00",1907409.83606557,87,0.00456115924092409,26.6
"123","KING COUNTY",2011,"234867.00","12.10","68596.00",1941049.58677686,73,0.00376085188638676,26.6
"124","KITSAP COUNTY",2005,"20797.00","9.00","53127.00",231077.777777778,23,0.00995335865749868,29.9
"125","KITSAP COUNTY",2006,"21299","9.1","55370",234054.945054945,20,0.00854500211277525,29.9
"126","KITSAP COUNTY",2007,"20395","8.9","57875",229157.303370787,21,0.00916401078695759,29.9
"127","KITSAP COUNTY",2008,"23275","10.1","59611",230445.544554455,18,0.0078109559613319,29.9
"128","KITSAP COUNTY",2009,"19529","8.4","60673",232488.095238095,18,0.0077423319166368,29.9
"129","KITSAP COUNTY",2010,"27463.00","11.30","57107.00",243035.398230088,14,0.00576047773367804,29.9
"130","KITSAP COUNTY",2011,"26853.00","11.00","60294.00",244118.181818182,21,0.00860239079432466,29.9
"131","KITTITAS COUNTY",2005,"7306.00","21.70","36634.00",33668.202764977,13,0.0386120996441281,20
"132","KITTITAS COUNTY",2006,"7364","21.6","36520",34092.5925925926,11,0.0322650733297121,20
"133","KITTITAS COUNTY",2007,"6591","18.6","41966",35435.4838709677,12,0.0338643604915794,20
"134","KITTITAS COUNTY",2008,"6140","17","45274",36117.6470588235,9,0.0249185667752443,20
"135","KITTITAS COUNTY",2009,"7545","20.6","41563",36626.213592233,5,0.0136514247846256,20
"136","KITTITAS COUNTY",2010,"8049.00","20.90","40376.00",38511.961722488,9,0.0233693626537458,20
"137","KITTITAS COUNTY",2011,"9978.00","25.50","41823.00",39129.4117647059,18,0.0460012026458208,20
"138","KLICKITAT COUNTY",2005,"3404.00","17.40","38617.00",19563.2183908046,4,0.0204465334900117,19.6
"139","KLICKITAT COUNTY",2006,"3509","17.4","39521",20166.6666666667,4,0.0198347107438017,19.6
"140","KLICKITAT COUNTY",2007,"3134","15.7","42369",19961.7834394904,6,0.0300574345883854,19.6
"141","KLICKITAT COUNTY",2008,"3388","16.8","40953",20166.6666666667,6,0.0297520661157025,19.6
"142","KLICKITAT COUNTY",2009,"3675","18","41191",20416.6666666667,4,0.0195918367346939,19.6
"143","KLICKITAT COUNTY",2010,"3514.00","17.40","42510.00",20195.4022988506,7,0.0346613545816733,19.6
"144","KLICKITAT COUNTY",2011,"3256.00","15.90","43340.00",20477.9874213836,3,0.0146498771498771,19.6
"145","LEWIS COUNTY",2005,"11556.00","16.30","40600.00",70895.7055214724,14,0.0197473174108688,26.1
"146","LEWIS COUNTY",2006,"10372","14.3","41674",72531.4685314685,11,0.0151658310836868,26.1
"147","LEWIS COUNTY",2007,"10297","14.2","43223",72514.0845070423,14,0.019306594153637,26.1
"148","LEWIS COUNTY",2008,"9804","13.4","42947",73164.1791044776,11,0.0150346797225622,26.1
"149","LEWIS COUNTY",2009,"11108","15.1","42365",73562.9139072848,18,0.0244688512783579,26.1
"150","LEWIS COUNTY",2010,"12296.00","16.50","40109.00",74521.2121212121,7,0.00939329863370202,26.1
"151","LEWIS COUNTY",2011,"11176.00","14.90","42072.00",75006.711409396,12,0.0159985683607731,26.1
"152","LINCOLN COUNTY",2005,"1287.00","12.60","38685.00",10214.2857142857,4,0.0391608391608392,21.3
"153","LINCOLN COUNTY",2006,"1477","14.4","41163",10256.9444444444,3,0.0292484766418416,21.3
"154","LINCOLN COUNTY",2007,"1187","11.7","41954",10145.2991452991,1,0.00985678180286436,21.3
"155","LINCOLN COUNTY",2008,"1320","12.9","45920",10232.5581395349,5,0.0488636363636364,21.3
"156","LINCOLN COUNTY",2009,"1441","14.2","44899",10147.8873239437,3,0.0295628036086051,21.3
"157","LINCOLN COUNTY",2010,"1227.00","11.70","48746.00",10487.1794871795,4,0.0381418092909535,21.3
"158","LINCOLN COUNTY",2011,"1296.00","12.50","47602.00",10368,3,0.0289351851851852,21.3
"159","MASON COUNTY",2005,"7574.00","14.50","42699.00",52234.4827586207,14,0.0268022181146026,31.8
"160","MASON COUNTY",2006,"6253","11.6","46372",53905.1724137931,15,0.0278266432112586,31.8
"161","MASON COUNTY",2007,"6633","12.2","47200",54368.8524590164,8,0.0147143072516207,31.8
"162","MASON COUNTY",2008,"7851","14.2","50356",55288.7323943662,9,0.0162781811234238,31.8
"163","MASON COUNTY",2009,"8839","15.9","49440",55591.1949685535,5,0.00899423011652902,31.8
"164","MASON COUNTY",2010,"9280.00","16.00","46062.00",58000,6,0.0103448275862069,31.8
"165","MASON COUNTY",2011,"8627.00","14.80","44331.00",58290.5405405405,12,0.0205865306595572,31.8
"166","OKANOGAN COUNTY",2005,"8434.00","21.80","32052.00",38688.0733944954,11,0.0284325349774721,18.1
"167","OKANOGAN COUNTY",2006,"7704","19.5","35830",39507.6923076923,9,0.0227803738317757,18.1
"168","OKANOGAN COUNTY",2007,"8986","23","35850",39069.5652173913,11,0.0281549076340975,18.1
"169","OKANOGAN COUNTY",2008,"7758","19.6","37900",39581.6326530612,9,0.022737819025522,18.1
"170","OKANOGAN COUNTY",2009,"7435","18.6","38363",39973.1182795699,8,0.0200134498991258,18.1
"171","OKANOGAN COUNTY",2010,"8943.00","22.00","35682.00",40650,11,0.027060270602706,18.1
"172","OKANOGAN COUNTY",2011,"8843.00","21.70","38680.00",40751.1520737327,10,0.0245391835349994,18.1
"173","PACIFIC COUNTY",2005,"3350.00","15.80","35390.00",21202.5316455696,5,0.0235820895522388,21.5
"174","PACIFIC COUNTY",2006,"3535","16.5","35487",21424.2424242424,8,0.0373408769448373,21.5
"175","PACIFIC COUNTY",2007,"3387","16","37501",21168.75,0,0,21.5
"176","PACIFIC COUNTY",2008,"3418","16.3","38060",20969.3251533742,4,0.0190754827384435,21.5
"177","PACIFIC COUNTY",2009,"3768","17.9","38177",21050.2793296089,5,0.0237526539278132,21.5
"178","PACIFIC COUNTY",2010,"3696.00","17.90","37832.00",20648.0446927374,1,0.00484307359307359,21.5
"179","PACIFIC COUNTY",2011,"3749.00","18.20","37632.00",20598.9010989011,3,0.0145638837023206,21.5
"180","PEND OREILLE COUNTY",2005,"2342.00","18.70","32794.00",12524.064171123,0,0,29.2
"181","PEND OREILLE COUNTY",2006,"2170","16.9","35625",12840.2366863905,1,0.00778801843317972,29.2
"182","PEND OREILLE COUNTY",2007,"2010","15.9","39352",12641.5094339623,2,0.0158208955223881,29.2
"183","PEND OREILLE COUNTY",2008,"2392","18.8","38939",12723.4042553191,2,0.0157190635451505,29.2
"184","PEND OREILLE COUNTY",2009,"2402","18.7","39288",12844.9197860963,4,0.0311407160699417,29.2
"185","PEND OREILLE COUNTY",2010,"2427.00","18.90","39035.00",12841.2698412698,1,0.00778739184177997,29.2
"186","PEND OREILLE COUNTY",2011,"2536.00","19.80","37457.00",12808.0808080808,2,0.015615141955836,29.2
"187","PIERCE COUNTY",2005,"82450.00","11.30","49636.00",729646.017699115,54,0.00740084899939357,28.4
"188","PIERCE COUNTY",2006,"87020","11.7","53789",743760.683760684,60,0.00806711100896346,28.4
