"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","BARBOUR COUNTY",2003,"2951","19.5","27607.00",15133.3333333333,4,0.026431718061674,29.9
"2","BARBOUR COUNTY",2004,"2926.00","19.00","28331.00",15400,3,0.0194805194805195,29.9
"3","BARBOUR COUNTY",2005,"3333.00","21.90","27660.00",15219.1780821918,4,0.0262826282628263,29.9
"4","BARBOUR COUNTY",2006,"3211","20.9","30403",15363.6363636364,3,0.0195266272189349,29.9
"5","BARBOUR COUNTY",2007,"3476","23.1","28826",15047.619047619,5,0.0332278481012658,29.9
"6","BARBOUR COUNTY",2008,"3224","21.3","30887",15136.1502347418,3,0.0198200992555831,29.9
"7","BARBOUR COUNTY",2009,"3176","20.8","34547",15269.2307692308,4,0.0261964735516373,29.9
"8","BARBOUR COUNTY",2010,"2824.00","17.60","31634.00",16045.4545454545,0,0,29.9
"9","BARBOUR COUNTY",2011,"3650.00","22.80","33004.00",16008.7719298246,1,0.00624657534246575,29.9
"10","BERKELEY COUNTY",2003,"10198","11.5","43330.00",88678.2608695652,20,0.0225534418513434,30
"11","BERKELEY COUNTY",2004,"10367.00","11.20","45390.00",92562.5,20,0.0216070222822417,30
"12","BERKELEY COUNTY",2005,"9681.00","10.60","46879.00",91330.1886792453,11,0.0120442103088524,30
"13","BERKELEY COUNTY",2006,"8554","8.9","50158",96112.3595505618,23,0.0239303249941548,30
"14","BERKELEY COUNTY",2007,"9936","10.1","52566",98376.2376237624,23,0.0233796296296296,30
"15","BERKELEY COUNTY",2008,"11253","11.2","52472",100473.214285714,21,0.0209010930418555,30
"16","BERKELEY COUNTY",2009,"10866","10.6","51243",102509.433962264,14,0.0136572795877048,30
"17","BERKELEY COUNTY",2010,"13140.00","12.70","50923.00",103464.566929134,10,0.00966514459665144,30
"18","BERKELEY COUNTY",2011,"15425.00","14.80","51029.00",104222.972972973,18,0.0172706645056726,30
"19","BOONE COUNTY",2003,"4743","18.4","28675.00",25777.1739130435,9,0.0349146110056926,29.1
"20","BOONE COUNTY",2004,"4695.00","18.20","29777.00",25796.7032967033,5,0.0193823216187433,29.1
"21","BOONE COUNTY",2005,"5038.00","19.80","30412.00",25444.4444444444,5,0.0196506550218341,29.1
"22","BOONE COUNTY",2006,"5016","19.8","32533",25333.3333333333,15,0.0592105263157895,29.1
"23","BOONE COUNTY",2007,"4565","18.2","35654",25082.4175824176,13,0.051829134720701,29.1
"24","BOONE COUNTY",2008,"5282","21.3","32794",24798.1220657277,6,0.0241953805376751,29.1
"25","BOONE COUNTY",2009,"5027","20.5","38430",24521.9512195122,12,0.0489357469663815,29.1
"26","BOONE COUNTY",2010,"4601.00","18.90","38126.00",24343.9153439153,6,0.0246468159095849,29.1
"27","BOONE COUNTY",2011,"4750.00","19.60","38357.00",24234.693877551,5,0.0206315789473684,29.1
"28","BRAXTON COUNTY",2003,"2891","20","26790.00",14455,1,0.00691802144586648,32.4
"29","BRAXTON COUNTY",2004,"2897.00","20.10","28171.00",14412.9353233831,8,0.0555056955471177,32.4
"30","BRAXTON COUNTY",2005,"3343.00","23.50","26963.00",14225.5319148936,6,0.0421776847143284,32.4
"31","BRAXTON COUNTY",2006,"3134","22","29456",14245.4545454545,11,0.0772176132737715,32.4
"32","BRAXTON COUNTY",2007,"3137","22.3","31616",14067.264573991,7,0.0497609180745936,32.4
"33","BRAXTON COUNTY",2008,"2982","21.1","30843",14132.7014218009,5,0.0353789403085178,32.4
"34","BRAXTON COUNTY",2009,"3231","23.3","31471",13866.9527896996,6,0.0432683379758589,32.4
"35","BRAXTON COUNTY",2010,"3333.00","23.60","32606.00",14122.8813559322,8,0.0566456645664567,32.4
"36","BRAXTON COUNTY",2011,"3125.00","22.20","32369.00",14076.5765765766,4,0.028416,32.4
"37","BROOKE COUNTY",2003,"2805","11.6","34899.00",24181.0344827586,4,0.016541889483066,25.8
"38","BROOKE COUNTY",2004,"2851.00","12.00","35684.00",23758.3333333333,4,0.0168361978253244,25.8
"39","BROOKE COUNTY",2005,"2797.00","11.90","37051.00",23504.2016806723,3,0.0127636753664641,25.8
"40","BROOKE COUNTY",2006,"2938","12.6","36400",23317.4603174603,0,0,25.8
"41","BROOKE COUNTY",2007,"2777","12.2","39601",22762.2950819672,1,0.00439323010442924,25.8
