"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ALBANY COUNTY",2003,"4244","14.5","33882.00",29268.9655172414,17,0.0580819981149859,12.3
"2","ALBANY COUNTY",2004,"4232.00","14.70","34627.00",28789.1156462585,16,0.0555765595463138,12.3
"3","ALBANY COUNTY",2005,"5167.00","18.20","34901.00",28390.1098901099,9,0.0317011805689955,12.3
"4","ALBANY COUNTY",2006,"4556","16.3","35182",27950.9202453988,8,0.0286215978928885,12.3
"5","ALBANY COUNTY",2007,"4839","16.2","42118",29870.3703703704,5,0.0167389956602604,12.3
"6","ALBANY COUNTY",2008,"5084","16.8","43210",30261.9047619048,9,0.0297403619197482,12.3
"7","ALBANY COUNTY",2009,"5881","18.7","40772",31449.1978609626,7,0.0222581193674545,12.3
"8","ALBANY COUNTY",2010,"7096.00","20.70","40430.00",34280.193236715,8,0.023337091319053,12.3
"9","ALBANY COUNTY",2011,"7511.00","21.60","45651.00",34773.1481481481,9,0.0258820396751431,12.3
"10","BIG HORN COUNTY",2003,"1475","13.1","35659.00",11259.5419847328,1,0.00888135593220339,20.2
"11","BIG HORN COUNTY",2004,"1338.00","12.00","36930.00",11150,4,0.0358744394618834,20.2
"12","BIG HORN COUNTY",2005,"1433.00","13.00","36597.00",11023.0769230769,5,0.0453593859036985,20.2
"13","BIG HORN COUNTY",2006,"1377","12.4","38960",11104.8387096774,2,0.0180101670297749,20.2
"14","BIG HORN COUNTY",2007,"1090","9.9","47712",11010.101010101,1,0.00908256880733945,20.2
"15","BIG HORN COUNTY",2008,"1265","11.4","44304",11096.4912280702,15,0.135177865612648,20.2
"16","BIG HORN COUNTY",2009,"1200","10.6","45070",11320.7547169811,2,0.0176666666666667,20.2
"17","BIG HORN COUNTY",2010,"1495.00","13.00","44137.00",11500,1,0.00869565217391304,20.2
"18","BIG HORN COUNTY",2011,"1332.00","11.50","49929.00",11582.6086956522,4,0.0345345345345345,20.2
"19","CAMPBELL COUNTY",2003,"2893","7.9","57869.00",36620.253164557,11,0.0300380228136882,20.8
"20","CAMPBELL COUNTY",2004,"2936.00","7.90","60800.00",37164.5569620253,10,0.0269073569482289,20.8
"21","CAMPBELL COUNTY",2005,"2585.00","7.00","60979.00",36928.5714285714,10,0.0270793036750484,20.8
"22","CAMPBELL COUNTY",2006,"2629","6.8","61818",38661.7647058824,16,0.0413845568657284,20.8
"23","CAMPBELL COUNTY",2007,"2387","5.9","77830",40457.6271186441,13,0.032132383745287,20.8
"24","CAMPBELL COUNTY",2008,"2376","5.8","75244",40965.5172413793,15,0.0366161616161616,20.8
"25","CAMPBELL COUNTY",2009,"2817","6.4","78797",44015.625,5,0.0113596024139155,20.8
"26","CAMPBELL COUNTY",2010,"3117.00","6.80","76441.00",45838.2352941177,2,0.00436316971446904,20.8
"27","CAMPBELL COUNTY",2011,"3205.00","7.00","70438.00",45785.7142857143,12,0.0262090483619345,20.8
"28","CARBON COUNTY",2003,"1766","12.2","39759.00",14475.4098360656,10,0.0690826727066818,15.6
"29","CARBON COUNTY",2004,"1714.00","11.80","40750.00",14525.4237288136,13,0.0894982497082847,15.6
"30","CARBON COUNTY",2005,"1894.00","13.10","40114.00",14458.0152671756,7,0.048416050686378,15.6
"31","CARBON COUNTY",2006,"1804","12.5","45258",14432,19,0.131651884700665,15.6
"32","CARBON COUNTY",2007,"1484","10.2","48358",14549.0196078431,10,0.068733153638814,15.6
"33","CARBON COUNTY",2008,"1450","9.8","54257",14795.9183673469,6,0.040551724137931,15.6
"34","CARBON COUNTY",2009,"1754","11.7","50353",14991.452991453,8,0.053363740022805,15.6
"35","CARBON COUNTY",2010,"1863.00","12.40","52935.00",15024.1935483871,20,0.133118625872249,15.6
"36","CARBON COUNTY",2011,"2069.00","13.80","52855.00",14992.7536231884,11,0.0733687771870469,15.6
"37","CONVERSE COUNTY",2003,"1312","10.5","44870.00",12495.2380952381,8,0.0640243902439024,30.2
"38","CONVERSE COUNTY",2004,"1242.00","9.80","46883.00",12673.4693877551,4,0.0315619967793881,30.2
"39","CONVERSE COUNTY",2005,"1288.00","10.20","47557.00",12627.4509803922,5,0.0395962732919255,30.2
"40","CONVERSE COUNTY",2006,"1206","9.5","52123",12694.7368421053,2,0.0157545605306799,30.2
"41","CONVERSE COUNTY",2007,"1202","9.4","53751",12787.2340425532,3,0.0234608985024958,30.2
"42","CONVERSE COUNTY",2008,"1122","8.5","57609",13200,5,0.0378787878787879,30.2
"43","CONVERSE COUNTY",2009,"1195","8.9","58658",13426.9662921348,6,0.0446861924686192,30.2
"44","CONVERSE COUNTY",2010,"1429.00","10.40","58599.00",13740.3846153846,8,0.058222533240028,30.2
"45","CONVERSE COUNTY",2011,"1404.00","10.30","59507.00",13631.067961165,3,0.022008547008547,30.2
"46","CROOK COUNTY",2003,"507","8.6","41568.00",5895.3488372093,6,0.101775147928994,22.6
"47","CROOK COUNTY",2004,"485.00","7.90","43880.00",6139.24050632911,4,0.0651546391752577,22.6
"48","CROOK COUNTY",2005,"495.00","8.20","43495.00",6036.58536585366,4,0.0662626262626263,22.6
"49","CROOK COUNTY",2006,"522","8.5","46789",6141.17647058824,5,0.0814176245210728,22.6
"50","CROOK COUNTY",2007,"463","7.5","49890",6173.33333333333,4,0.0647948164146868,22.6
"51","CROOK COUNTY",2008,"476","7.5","54434",6346.66666666667,2,0.0315126050420168,22.6
"52","CROOK COUNTY",2009,"544","8.3","50581",6554.21686746988,1,0.0152573529411765,22.6
"53","CROOK COUNTY",2010,"581.00","8.20","53961.00",7085.36585365854,11,0.155249569707401,22.6
"54","CROOK COUNTY",2011,"586.00","8.30","55294.00",7060.24096385542,2,0.0283276450511945,22.6
"55","FREMONT COUNTY",2003,"4620","12.9","35144.00",35813.9534883721,13,0.0362987012987013,19.3
"56","FREMONT COUNTY",2004,"4616.00","12.90","36416.00",35782.9457364341,7,0.0195623916811092,19.3
"57","FREMONT COUNTY",2005,"5292.00","14.90","37392.00",35516.7785234899,14,0.0394179894179894,19.3
"58","FREMONT COUNTY",2006,"5666","15.6","38160",36320.5128205128,24,0.0660783621602541,19.3
"59","FREMONT COUNTY",2007,"4662","12.7","45451",36708.6614173228,19,0.0517589017589018,19.3
"60","FREMONT COUNTY",2008,"5045","13.5","45708",37370.3703703704,22,0.0588701684836472,19.3
"61","FREMONT COUNTY",2009,"5551","14.7","42738",37761.9047619048,24,0.0635561160151324,19.3
"62","FREMONT COUNTY",2010,"5447.00","13.80","45998.00",39471.0144927536,14,0.0354690655406646,19.3
"63","FREMONT COUNTY",2011,"6174.00","15.60","45731.00",39576.9230769231,13,0.0328474246841594,19.3
"64","GOSHEN COUNTY",2003,"1740","14.6","33336.00",11917.8082191781,2,0.0167816091954023,19.5
"65","GOSHEN COUNTY",2004,"1656.00","13.90","34365.00",11913.6690647482,3,0.0251811594202899,19.5
"66","GOSHEN COUNTY",2005,"1899.00","16.20","34652.00",11722.2222222222,0,0,19.5
"67","GOSHEN COUNTY",2006,"1604","13.7","39466",11708.0291970803,3,0.0256234413965087,19.5
"68","GOSHEN COUNTY",2007,"1717","14.8","38879",11601.3513513514,0,0,19.5
"69","GOSHEN COUNTY",2008,"1818","15.6","40744",11653.8461538462,3,0.0257425742574257,19.5
"70","GOSHEN COUNTY",2009,"1702","14.3","41453",11902.0979020979,4,0.0336075205640423,19.5
"71","GOSHEN COUNTY",2010,"2079.00","17.00","41226.00",12229.4117647059,3,0.0245310245310245,19.5
"72","GOSHEN COUNTY",2011,"2102.00","17.00","41014.00",12364.7058823529,1,0.00808753568030447,19.5
"73","HOT SPRINGS COUNTY",2003,"517","11.6","32292.00",4456.89655172414,3,0.0673114119922631,17.2
"74","HOT SPRINGS COUNTY",2004,"461.00","10.50","34477.00",4390.47619047619,1,0.0227765726681128,17.2
"75","HOT SPRINGS COUNTY",2005,"504.00","11.50","34905.00",4382.60869565217,2,0.0456349206349206,17.2
"76","HOT SPRINGS COUNTY",2006,"544","12.3","36085",4422.76422764228,2,0.0452205882352941,17.2
"77","HOT SPRINGS COUNTY",2007,"485","11","40709",4409.09090909091,0,0,17.2
"78","HOT SPRINGS COUNTY",2008,"544","12.2","40310",4459.01639344262,2,0.0448529411764706,17.2
"79","HOT SPRINGS COUNTY",2009,"530","11.9","40367",4453.78151260504,0,0,17.2
"80","HOT SPRINGS COUNTY",2010,"553.00","11.70","40126.00",4726.49572649573,3,0.0634719710669078,17.2
"81","HOT SPRINGS COUNTY",2011,"616.00","13.10","41845.00",4702.29007633588,1,0.0212662337662338,17.2
"82","JOHNSON COUNTY",2003,"733","9.6","39508.00",7635.41666666667,4,0.052387448840382,16.5
"83","JOHNSON COUNTY",2004,"669.00","8.70","42252.00",7689.65517241379,6,0.0780269058295964,16.5
