LONGITUDE,LATITUDE
-87.556800,33.161770
-86.267400,32.367150
-84.346896,33.535725
-84.398865,33.746059
-84.369200,33.823680
-83.627926,32.823427
-83.367378,33.929494
-84.541000,33.760090
-95.433900,29.779160
-94.372883,35.362856
-71.025621,42.369766
-71.180333,42.278890
-71.064394,42.393191
-76.622800,39.301950
-76.655900,39.187200
-74.179494,40.624617
-73.786717,40.645397
-73.931517,40.718069
-73.917927,40.645196
-97.421115,27.750055
-74.007259,40.753850
-73.974692,40.729722
-73.857686,40.843700
-73.691672,40.979304
-73.813338,41.082317
-73.845956,40.767802
-121.985548,47.206390
-70.201253,41.688787
-86.172500,39.797690
-86.161000,39.736330
-84.037551,41.899563
-82.717600,41.454930
-104.833166,41.134377
-72.660058,41.736916
-91.142600,30.450710
-91.088700,30.471630
-81.614726,41.414997
-74.248084,40.676262
-95.280100,29.787260
-105.993000,35.657830
-94.716900,38.966050
-116.275946,43.599167
-112.468075,42.949633
-114.461154,42.573928
-112.007445,43.509729
-116.618458,43.615117
-116.244000,43.558760
-95.667900,39.058750
-118.169000,33.818830
-90.244111,38.634959
-90.323459,38.598614
-73.219242,40.784165
-73.512375,40.766160
-96.988700,32.817880
-96.813944,32.776194
-97.311100,32.745800
-96.683800,32.897260
-100.762000,46.796520
-102.806000,46.876010
-108.496000,45.790740
-104.694000,47.129380
-107.658000,41.033370
-109.204000,41.578110
-109.204000,41.578110
-110.070000,41.454920
-110.293000,41.330580
-111.372000,40.914310
-111.416000,40.507560
-111.718000,40.314780
-111.512000,40.662420
-109.990000,40.298100
-111.906000,40.583610
-111.993538,40.598920
-111.899000,40.522170
-111.924000,40.764990
-111.920000,40.767170
-111.888000,40.767180
-111.939000,40.771460
-111.931000,40.771510
-111.969000,40.722300
-111.924000,40.702330
-111.980000,40.778120
-111.861000,41.735650
-112.006000,41.228280
-111.970000,41.211200
-112.024000,41.103940
-110.813000,39.586980
-110.822000,39.618270
-111.588000,39.354300
-112.324000,38.984170
-112.354000,38.950090
-112.344000,38.950420
-111.832000,40.003980
-112.084000,38.784110
-113.055000,37.713970
-113.094000,37.693540
-113.067000,37.664650
-113.559000,37.114030
-113.564000,37.110210
-89.376200,43.078670
-88.109037,30.688710
-93.497700,44.790330
-93.285800,44.891480
-96.012438,41.235084
-105.053000,39.803440
-104.871667,39.406906
-104.988000,39.732330
-104.987000,39.802260
-104.940000,39.676440
-105.003000,39.722020
-105.111353,39.656059
-104.709000,39.838100
-105.211000,40.020430
-105.253000,39.999720
-105.042000,40.536650
-78.993012,43.105566
-73.739912,42.669195
-122.746035,45.390446
-122.782222,45.381834
-122.537882,45.562809
-122.567190,45.469660
-123.029354,44.971340
-123.002882,44.922581
-97.551510,35.473942
-97.584905,35.455817
-97.512127,35.522139
-97.502716,35.406229
-97.152930,34.202201
-97.901098,36.410102
-97.942047,36.393239
-96.129704,36.084724
-96.689631,35.751853
-95.990861,36.150072
-95.911290,36.138765
-95.891154,36.137502
-95.844261,36.079380
-96.003263,36.110578
-95.396109,35.740496
-97.093744,36.730330
-96.929934,35.346159
-97.506847,35.442519
-75.090180,40.194280
-75.337042,39.863860
-75.462084,40.059220
-75.317969,40.075826
-75.536833,40.125557
-75.296917,40.096598
-71.397758,41.795367
-121.061000,39.199640
-121.969000,37.773030
-121.999000,36.969270
-119.039000,35.317620
-119.689693,36.836922
-119.761000,36.721320
-121.641000,36.672260
-122.266000,37.520920
-122.414000,37.760530
-122.029000,37.956150
-122.118000,37.642340
-122.344000,37.916440
-122.500000,37.951240
-122.023000,37.335890
-121.906000,37.334080
-121.284000,37.991110
-122.767000,38.428630
-121.074000,38.888890
-121.734000,38.546110
-121.470000,38.569320
-121.389000,38.526130
-122.305863,40.444329
-87.625500,41.777660
-87.743100,41.952480
-81.701966,30.170228
-87.040998,30.632594
-81.386500,28.545510
-80.156600,25.920900
